time,seconds_elapsed,z,y,x
1771073176094343400,0.098343505859375,0,0,0
1771073176104279800,0.10827978515625,-0.32932090759277344,-0.12026572227478027,-0.1509310007095337
1771073176114216400,0.118216552734375,-0.589381217956543,-0.07635855674743652,-0.3429184556007385
1771073176124153600,0.128153564453125,-0.13765335083007812,0.20344257354736328,-0.33055615425109863
1771073176144029400,0.148029541015625,0.7156410217285156,0.4739704132080078,0.20716160535812378
1771073176153968400,0.157968505859375,0.44030284881591797,0.4887421131134033,0.5844991207122803
1771073176163907800,0.167907958984375,0.06320858001708984,0.4632432460784912,0.673619270324707
1771073176173848300,0.177848388671875,-0.37475013732910156,0.3804647922515869,0.4821738004684448
1771073176183789300,0.187789306640625,-0.9715032577514648,0.16194677352905273,-0.002300441265106201
1771073176193731000,0.19773095703125,-0.9793071746826172,-0.05643963813781738,-0.5818592309951782
1771073176203673300,0.20767333984375,-0.7529878616333008,-0.15231943130493164,-0.7530545592308044
1771073176213615900,0.217615966796875,-0.34219932556152344,-0.1342618465423584,-0.6026453375816345
1771073176223559000,0.227558837890625,0.005222320556640625,-0.14690423011779785,-0.3900349736213684
1771073176233502200,0.237502197265625,0.08357524871826172,-0.10928535461425781,-0.16805905103683472
1771073176243445800,0.24744580078125,0.4650096893310547,0.04417920112609863,0.036045849323272705
1771073176253388800,0.257388916015625,0.7638931274414062,0.14069676399230957,0.1418609619140625
1771073176263329000,0.2673291015625,0.722752571105957,0.2007579803466797,0.22846347093582153
1771073176273269200,0.277269287109375,0.4766559600830078,0.13985466957092285,0.2006261944770813
1771073176283209700,0.287209716796875,0.3225593566894531,0.03199505805969238,0.1356678009033203
1771073176293150000,0.29714990234375,0.4240427017211914,-0.006171703338623047,0.09351015090942383
1771073176303090400,0.30709033203125,0.6541824340820312,-0.007925987243652344,0.06713676452636719
1771073176313030700,0.31703076171875,0.6930742263793945,-0.05261397361755371,-0.008683741092681885
1771073176322971000,0.326970947265625,0.5926504135131836,-0.07744574546813965,-0.06980699300765991
1771073176332911400,0.336911376953125,0.3302583694458008,-0.1002187728881836,-0.13360249996185303
1771073176342851600,0.3468515625,-0.07116222381591797,-0.14989352226257324,-0.2008417248725891
1771073176352791800,0.356791748046875,-0.4108419418334961,-0.17892765998840332,-0.23581427335739136
1771073176362732300,0.366732177734375,-0.4667673110961914,-0.20055556297302246,-0.21839189529418945
1771073176372672500,0.376672607421875,-0.4917774200439453,-0.2211146354675293,-0.17657595872879028
1771073176382612700,0.38661279296875,-0.6467437744140625,-0.19883513450622559,-0.13445663452148438
1771073176392553200,0.39655322265625,-0.7310857772827148,-0.09056377410888672,-0.037363648414611816
1771073176402493400,0.406493408203125,-0.7103462219238281,0.10251879692077637,0.14819711446762085
1771073176412433700,0.41643359375,-0.5785236358642578,0.281571626663208,0.36029052734375
1771073176422374100,0.4263740234375,-0.5221481323242188,0.41724514961242676,0.5716885328292847
1771073176432314400,0.436314453125,-0.5020160675048828,0.4745354652404785,0.6680530309677124
1771073176442254600,0.446254638671875,-0.5547771453857422,0.6055078506469727,0.7440364360809326
1771073176452195000,0.456195068359375,-0.6882658004760742,0.6807959079742432,0.6405499577522278
1771073176462135300,0.46613525390625,-0.8071689605712891,0.6125962734222412,0.41285425424575806
1771073176472075500,0.476075439453125,-0.7993831634521484,0.4280858039855957,0.19467905163764954
1771073176482016000,0.48601611328125,-0.9034061431884766,0.17789626121520996,-0.021525979042053223
1771073176491956200,0.495956298828125,-0.836517333984375,-0.017123937606811523,-0.24935382604599
1771073176501896400,0.505896484375,-0.6937398910522461,-0.044493675231933594,-0.35087019205093384
1771073176511837000,0.5158369140625,-0.6142253875732422,0.020039796829223633,-0.37458229064941406
1771073176521777200,0.525777099609375,-0.38046741485595703,0.12969756126403809,-0.32529985904693604
1771073176531717400,0.53571728515625,-0.11917877197265625,0.26320791244506836,-0.281859815120697
1771073176541657900,0.545657958984375,0.2775449752807617,0.36969661712646484,-0.22653591632843018
1771073176551598000,0.55559814453125,0.8387079238891602,0.3489241600036621,-0.09543102979660034
1771073176561538600,0.56553857421875,1.273818016052246,0.06861257553100586,-0.010743916034698486
1771073176571478800,0.575478759765625,1.745530128479004,-0.34639453887939453,0.07871279120445251
1771073176581419000,0.5854189453125,1.9667787551879883,-0.6339032649993896,0.0775730311870575
1771073176591359500,0.595359375,1.967921257019043,-0.6659135818481445,-0.18520587682724
1771073176601299700,0.6052998046875,1.6986608505249023,-0.4322826862335205,-0.41446399688720703
