time,seconds_elapsed,z,y,x
1771082067133089800,0.02108984375,0,0,0
1771082067202678000,0.090677978515625,-0.10814285278320312,0.019084811210632324,0.07532793283462524
1771082067222561500,0.1105615234375,-0.3256797790527344,-0.12805700302124023,-0.1501745581626892
1771082067232503800,0.12050390625,-0.498870849609375,-0.08743739128112793,-0.1719350963830948
1771082067242446000,0.130446044921875,-0.5524606704711914,0.0325620174407959,-0.07400713115930557
1771082067252388400,0.140388427734375,-0.43821239471435547,0.13683247566223145,0.0379314087331295
1771082067262331000,0.150330810546875,-0.2727193832397461,0.13134074211120605,0.139154851436615
1771082067272273400,0.1602734375,-0.15775394439697266,0.09406304359436035,0.16321024298667908
1771082067282215000,0.17021484375,-0.11365413665771484,0.07153630256652832,0.08392749726772308
1771082067292156000,0.180156005859375,-0.12680912017822266,0.03335893154144287,-0.0009507015347480774
1771082067302097200,0.19009716796875,-0.09015655517578125,0.0009256601333618164,-0.04469180852174759
1771082067312038400,0.200038330078125,0.04171466827392578,-0.006541013717651367,-0.026468751952052116
1771082067321979400,0.2099794921875,0.08075523376464844,-0.002664804458618164,-0.03689585626125336
1771082067331920600,0.219920654296875,0.029463768005371094,0.00879204273223877,-0.04278651252388954
1771082067341861600,0.229861572265625,-0.0008459091186523438,0.043247342109680176,-0.04870302602648735
1771082067351803000,0.239802978515625,-0.01590251922607422,0.045461416244506836,-0.08404356241226196
1771082067361744100,0.249744140625,-0.03724098205566406,0.004076480865478516,-0.11414217203855515
1771082067371685000,0.25968505859375,-0.10627460479736328,-0.02988433837890625,-0.12227083742618561
1771082067381626400,0.26962646484375,-0.07421684265136719,-0.028316140174865723,-0.101520836353302
1771082067391567400,0.2795673828125,-0.04835796356201172,0.0115966796875,-0.03610875457525253
1771082067401508600,0.289508544921875,-0.06759452819824219,0.055985093116760254,0.03219398111104965
1771082067411449900,0.299449951171875,-0.03787803649902344,0.10210692882537842,0.0786447525024414
1771082067421390800,0.309390869140625,0.11566925048828125,0.14045846462249756,0.0737556591629982
1771082067431332000,0.31933203125,0.2852659225463867,0.09422242641448975,0.02756199985742569
1771082067441273000,0.329273193359375,0.3896331787109375,0.005071163177490234,-0.015447140671312809
1771082067451214300,0.33921435546875,0.4356107711791992,-0.07267391681671143,-0.0571000911295414
1771082067461155600,0.349155517578125,0.4040660858154297,-0.11160683631896973,-0.13452230393886566
1771082067481037800,0.369037841796875,0.26078033447265625,-0.07252371311187744,-0.11308466643095016
1771082067490978800,0.378978759765625,0.04477500915527344,-0.0252377986907959,-0.055144693702459335
1771082067500920000,0.388920166015625,-0.06978797912597656,0.022326946258544922,-0.026343457400798798
