time,seconds_elapsed,z,y,x
1771082268178072000,0.162072021484375,-0.7426090240478516,0.02614501118659973,-0.11269097775220871
1771082268187906800,0.17190673828125,-0.28232669830322266,0.013806216418743134,-0.05708754062652588
1771082268197759700,0.181759765625,0.10725975036621094,0.00038111209869384766,-0.004681885242462158
1771082268207633700,0.191633544921875,0.4258098602294922,-0.01445518434047699,0.04179909825325012
1771082268217530000,0.201530029296875,0.8088960647583008,-0.03820456564426422,0.08288273215293884
1771082268227450400,0.211450439453125,1.0090084075927734,-0.044688764959573746,0.125944584608078
1771082268237394000,0.221393798828125,0.5011672973632812,-0.025597114115953445,0.051990121603012085
1771082268247360000,0.231360107421875,0.04290962219238281,-0.014789000153541565,0.010105729103088379
1771082268257346800,0.241346923828125,-0.2642192840576172,0.002756841480731964,-0.028259068727493286
1771082268267351300,0.251351318359375,-0.46686744689941406,0.010502316057682037,-0.06067860126495361
1771082268277370400,0.261370361328125,-0.546696662902832,0.014941304922103882,-0.07475803792476654
1771082268287400200,0.271400146484375,-0.44191837310791016,0.01199367642402649,-0.06027255952358246
1771082268297437000,0.28143701171875,-0.1926136016845703,0.009708739817142487,-0.036503374576568604
1771082268307476500,0.2914765625,0.04499244689941406,0.0017814338207244873,-0.011699706315994263
1771082268317483500,0.3014833984375,0.2609081268310547,-0.01099119707942009,0.017614006996154785
1771082268327424300,0.31142431640625,0.4613323211669922,-0.02526111900806427,0.04576250910758972
1771082268347305700,0.3313056640625,0.3491554260253906,-0.022075582295656204,0.04102560877799988
1771082268357246500,0.34124658203125,0.08465862274169922,-0.008045561611652374,0.008264273405075073
1771082268367187000,0.35118701171875,-0.11253929138183594,-0.003663957118988037,-0.01206827163696289
1771082268377127700,0.361127685546875,-0.24983596801757812,-0.0027553215622901917,-0.03211002051830292
1771082268387068400,0.371068359375,-0.3086891174316406,0.007271423935890198,-0.03973287343978882
1771082268397009200,0.381009033203125,-0.27088069915771484,0.0054905712604522705,-0.045112937688827515
1771082268406950000,0.390949951171875,-0.15327072143554688,0.0010337606072425842,-0.02170291543006897
1771082268416890400,0.400890380859375,-0.0044994354248046875,-0.002484343945980072,-0.0055675208568573
1771082268426831000,0.4108310546875,0.12594985961914062,-0.01064908504486084,0.010389178991317749
1771082268436771800,0.420771728515625,0.25040149688720703,-0.01746707782149315,0.02597936987876892
1771082268446712600,0.430712646484375,0.29468250274658203,-0.014385722577571869,0.031210362911224365
1771082268456653000,0.440653076171875,0.22374629974365234,-0.013415336608886719,0.031033694744110107
1771082268466593800,0.45059375,0.08017921447753906,-0.006596922874450684,0.003101527690887451
1771082268476534500,0.460534423828125,-0.04098987579345703,-0.002495996654033661,-0.007578611373901367
1771082268486475300,0.470475341796875,-0.12410259246826172,-0.004794947803020477,-0.01474231481552124
1771082268496415700,0.480415771484375,-0.17717742919921875,-0.0034892484545707703,-0.019495338201522827
1771082268506356500,0.4903564453125,-0.14956283569335938,-0.0032372623682022095,-0.026977211236953735
1771082268516297200,0.500297119140625,-0.0945577621459961,0.00045975297689437866,-0.022593766450881958
1771082268526238000,0.510238037109375,0.0036268234252929688,-0.00945783406496048,-0.012313544750213623
1771082268536178700,0.5201787109375,0.08323955535888672,-0.007558859884738922,0.0027179718017578125
1771082268556060000,0.540059814453125,0.15353870391845703,-0.00860217958688736,0.020253092050552368
1771082268566000600,0.550000732421875,0.1245107650756836,-0.007128491997718811,0.012152343988418579
1771082268575941400,0.55994140625,0.04450035095214844,-0.015576731413602829,0.0031959116458892822
1771082268585881900,0.5698818359375,-0.031540870666503906,-0.0029487162828445435,-0.0033348500728607178
1771082268595822600,0.579822509765625,-0.07086944580078125,-0.004145294427871704,-0.010754227638244629
1771082268605763300,0.589763427734375,-0.08595943450927734,-0.009305775165557861,-0.009861171245574951
1771082268615704000,0.5997041015625,-0.07257366180419922,0.00043567270040512085,-0.01745849847793579
1771082268625644500,0.60964453125,-0.033585548400878906,-0.006045863032341003,-0.011939436197280884
1771082268635585300,0.619585205078125,0.011744499206542969,-0.009753331542015076,0.002470731735229492
1771082268645526000,0.629526123046875,0.060965538024902344,-0.01830398291349411,0.005172073841094971
1771082268655466800,0.639466796875,0.09285354614257812,-0.00595024973154068,0.00874340534210205
1771082268665407500,0.649407470703125,0.0794839859008789,-0.008641012012958527,0.008872449398040771
1771082268675348000,0.659347900390625,0.05457019805908203,-0.009446978569030762,0.0006060898303985596
1771082268685288700,0.669288818359375,0.011247634887695312,-0.00798693299293518,-0.0002563893795013428
1771082268695229400,0.6792294921875,-0.03134727478027344,-0.013410486280918121,-0.00837099552154541
1771082268705170200,0.689170166015625,-0.042609214782714844,-0.006564825773239136,-0.0029373764991760254
1771082268715110700,0.699110595703125,-0.04424762725830078,-0.006488874554634094,-0.007826060056686401
1771082268725051400,0.709051513671875,-0.027004241943359375,-0.00385342538356781,-0.001575171947479248
1771082268734992100,0.7189921875,0.004082679748535156,-0.005769766867160797,0.004266947507858276
1771082268744932900,0.728932861328125,0.0370025634765625,-0.012464575469493866,0.005506724119186401
1771082268754873300,0.738873291015625,0.052880287170410156,-0.014644607901573181,0.00488048791885376
1771082268764814000,0.74881396484375,0.047290802001953125,-0.010030873119831085,0.00016695261001586914
1771082268774754800,0.7587548828125,0.02294445037841797,-0.005697689950466156,-0.0038570761680603027
1771082268784695600,0.768695556640625,0.0037097930908203125,-0.008601471781730652,-0.0006493031978607178
1771082268794636300,0.77863623046875,-0.024616241455078125,-0.009003609418869019,-0.004760712385177612
1771082268804576800,0.78857666015625,-0.02420806884765625,-0.006940022110939026,-0.006857424974441528
1771082268814517500,0.798517578125,-0.01673603057861328,-0.006857819855213165,-0.011680781841278076
1771082268824458200,0.808458251953125,0.0023946762084960938,-0.013738073408603668,-0.002705216407775879
1771082268844339500,0.82833935546875,0.025770187377929688,-0.015783123672008514,-0.006146222352981567
1771082268854280200,0.8382802734375,0.030053138732910156,-0.011048607528209686,-0.0037148892879486084
1771082268864221000,0.848220947265625,0.020128250122070312,-0.015912026166915894,-0.001018613576889038
1771082268874161700,0.85816162109375,0.010372161865234375,-0.018543768674135208,0.0016327202320098877
1771082268884102100,0.86810205078125,0.000774383544921875,-0.0069069042801856995,0.0019882023334503174
1771082268894043000,0.87804296875,-0.01336669921875,-0.0118393674492836,-0.007283896207809448
1771082268903983600,0.887983642578125,-0.015493392944335938,-0.0070716217160224915,-0.00493466854095459
1771082268913924400,0.89792431640625,-0.005808830261230469,-0.0046329498291015625,-0.002829045057296753
1771082268923865000,0.907864990234375,0.01078033447265625,-0.014105357229709625,0.0014931857585906982
1771082268933805600,0.9178056640625,0.022378921508789062,-0.011549457907676697,0.0035935044288635254
1771082268943746300,0.927746337890625,0.024361610412597656,-0.011492282152175903,-0.010617583990097046
1771082268953687000,0.93768701171875,0.009833335876464844,-0.01163974404335022,0.003659754991531372
1771082268963627800,0.947627685546875,0.0026044845581054688,-0.018847648054361343,-0.0009315609931945801
1771082268973568300,0.957568359375,0.00020313262939453125,-0.009353496134281158,-0.003092050552368164
1771082268983509000,0.967509033203125,-0.013928413391113281,-0.011789068579673767,-0.005216538906097412
1771082268993449700,0.97744970703125,-0.004273414611816406,-0.011829741299152374,-0.00996541976928711
1771082269003390500,0.987390380859375,-0.0018453598022460938,-0.01176789402961731,0.0019467473030090332
1771082269013331200,0.997331298828125,0.00525665283203125,-0.011808916926383972,-0.007731974124908447
1771082269023271700,1.007271728515625,0.014591217041015625,-0.007038824260234833,-0.0006674528121948242
1771082269033212400,1.01721240234375,0.019059181213378906,-0.01657586544752121,-0.0053903162479400635
1771082269043153200,1.027153076171875,0.014036178588867188,-0.01183106005191803,0.004092097282409668
1771082269053094000,1.037093994140625,0.006739616394042969,-0.009516745805740356,-0.002962559461593628
1771082269063034400,1.047034423828125,0.001918792724609375,-0.009595312178134918,-0.005191057920455933
1771082269072975000,1.05697509765625,-0.005173683166503906,-0.01908976212143898,-0.009838581085205078
1771082269092856600,1.076856689453125,0.013760566711425781,-0.00014985352754592896,-0.0050747692584991455
1771082269112737800,1.09673779296875,0.011197090148925781,-0.004988320171833038,-0.005198687314987183
1771082269122678500,1.106678466796875,0.008658409118652344,-0.009853832423686981,-0.005136698484420776
1771082269132619300,1.116619384765625,0.015580177307128906,-0.00992678850889206,-0.002722233533859253
1771082269142560000,1.12656005859375,0.0035495758056640625,-0.012454695999622345,-0.0002461373805999756
1771082269152500500,1.13650048828125,-0.0012187957763671875,-0.0029652565717697144,0.0021886825561523438
